dict_id,sheet_name,column_name,data_type,allowed_values,description,required,primary_key,foreign_key_to,example_value
dict_000216,psychometrics,bias_review_status,string,,Column bias_review_status in psychometrics.,False,False,,
dict_000217,psychometrics,readability_status,string,,Column readability_status in psychometrics.,False,False,,
dict_000218,psychometrics,p_value_target,string,,Column p_value_target in psychometrics.,False,False,,
dict_000219,psychometrics,discrimination_index,string,,Column discrimination_index in psychometrics.,False,False,,
dict_000220,psychometrics,last_item_review_date,string,,Column last_item_review_date in psychometrics.,False,False,,
dict_000221,media_manifest,media_id,string,,Column media_id in media_manifest.,True,True,,
dict_000222,media_manifest,asset_type,string,,Column asset_type in media_manifest.,False,False,,
dict_000223,media_manifest,source_name,string,,Column source_name in media_manifest.,False,False,,
dict_000224,media_manifest,source_asset_id,string,,Column source_asset_id in media_manifest.,False,False,,
dict_000225,media_manifest,file_name,string,,Column file_name in media_manifest.,False,False,,
dict_000226,media_manifest,folder_path,string,,Column folder_path in media_manifest.,False,False,,
dict_000227,media_manifest,mime_type,string,,Column mime_type in media_manifest.,False,False,,
dict_000228,media_manifest,sample_rate_hz,string,,Column sample_rate_hz in media_manifest.,False,False,,
dict_000229,media_manifest,channels,string,,Column channels in media_manifest.,False,False,,
dict_000230,media_manifest,duration_ms,string,,Column duration_ms in media_manifest.,False,False,,
dict_000231,media_manifest,image_width_px,string,,Column image_width_px in media_manifest.,False,False,,
dict_000232,media_manifest,image_height_px,string,,Column image_height_px in media_manifest.,False,False,,
dict_000233,media_manifest,waveform_type,string,,Column waveform_type in media_manifest.,False,False,,
dict_000234,media_manifest,body_site,string,,Column body_site in media_manifest.,False,False,,
dict_000235,media_manifest,clinical_label,string,,Column clinical_label in media_manifest.,False,False,,
dict_000236,media_manifest,ecg_id_nullable,string,,Column ecg_id_nullable in media_manifest.,False,False,,
dict_000237,media_manifest,checksum_sha256,string,,Column checksum_sha256 in media_manifest.,False,False,,
dict_000238,media_manifest,anonymised_flag,string,,Column anonymised_flag in media_manifest.,False,False,,
dict_000239,media_manifest,licence_name,string,,Column licence_name in media_manifest.,False,False,,
dict_000240,media_manifest,licence_url,string,,Column licence_url in media_manifest.,False,False,,
dict_000241,media_manifest,attribution_text,string,,Column attribution_text in media_manifest.,False,False,,
